offence,predictor,importance
assault,assault_lag1,0.6259
assault,autotheft_lag1,0.0066
assault,breakenter_lag1,0.042
assault,robbery_lag1,0.1606
assault,theftover_lag1,0.0445
assault,theftfrommv_lag1,0.0128
assault,biketheft_lag1,0.0992
assault,year_index,0.0083
autotheft,assault_lag1,0.04
autotheft,autotheft_lag1,0.476
autotheft,breakenter_lag1,0.0244
autotheft,robbery_lag1,0.0237
autotheft,theftover_lag1,0.1253
autotheft,theftfrommv_lag1,0.1087
autotheft,biketheft_lag1,0.0727
autotheft,year_index,0.1292
breakenter,assault_lag1,0.1243
breakenter,autotheft_lag1,0.0126
breakenter,breakenter_lag1,0.5178
breakenter,robbery_lag1,0.032
breakenter,theftover_lag1,0.0428
breakenter,theftfrommv_lag1,0.0556
breakenter,biketheft_lag1,0.2091
breakenter,year_index,0.0058
robbery,assault_lag1,0.2463
robbery,autotheft_lag1,0.0169
robbery,breakenter_lag1,0.0444
robbery,robbery_lag1,0.5169
robbery,theftover_lag1,0.0306
robbery,theftfrommv_lag1,0.0591
robbery,biketheft_lag1,0.0562
robbery,year_index,0.0296
theftover,assault_lag1,0.1197
theftover,autotheft_lag1,0.08
theftover,breakenter_lag1,0.0889
theftover,robbery_lag1,0.0637
theftover,theftover_lag1,0.3646
theftover,theftfrommv_lag1,0.1424
theftover,biketheft_lag1,0.1147
theftover,year_index,0.0262
theftfrommv,assault_lag1,0.0732
theftfrommv,autotheft_lag1,0.0118
theftfrommv,breakenter_lag1,0.0255
theftfrommv,robbery_lag1,0.102
theftfrommv,theftover_lag1,0.1259
theftfrommv,theftfrommv_lag1,0.6076
theftfrommv,biketheft_lag1,0.0388
theftfrommv,year_index,0.0152
biketheft,assault_lag1,0.17
biketheft,autotheft_lag1,0.0195
biketheft,breakenter_lag1,0.0862
biketheft,robbery_lag1,0.0435
biketheft,theftover_lag1,0.0324
biketheft,theftfrommv_lag1,0.0145
biketheft,biketheft_lag1,0.6225
biketheft,year_index,0.0113
